word_1,word_0
,"practice,practicer, ,mispractice, ,mispracticed, ,mispracticing.,nonpractice, ,outpractice, ,outpracticed, ,outpracticing.,overpractice, ,overpracticed, ,overpracticing.,prepractice, ,prepracticed, ,prepracticing.,repractice, ,repracticed, ,repracticing."
"foot,land","land,landlike, ,reland, ,underland, ,landless, ,landlessness, "
,"describe,describable, ,describability, ,describably, ,describer, ,nondescribable, ,overdescribe, ,overdescribed, ,overdescribing.,predescribe, ,predescribed, ,predescribing.,redescribe, ,redescribed, ,redescribing.,self-described, ,undescribable, ,undescribableness, ,undescribably, ,undescribed, ,well-described, ,describable, ,describer, "
"mind,action","piece,multipiece, ,unpieced, "
,"product,multiproduct, ,subproduct, "
,"wall,unwall, ,wall-less, ,wall-like, "
"doctor's degree,Doctor of the Church,silver doctor,doctorate","doctor,doctoral, ,doctorial ,doctorally, ,doctorially, ,doctorless, ,doctorship, ,subdoctor, ,superdoctor, ,underdoctor, ,undoctored, ,doctoral, "
agent,"patient,patientless, ,patiently, ,patientness, ,overpatient, ,quasi-patient, ,quasi-patiently, ,superpatient, ,superpatiently, ,unpatient, ,unpatiently, ,patiently, "
molder,"worker,nonworker, ,subworker, ,workerless, "
"new,newspaper,newsworthy,newspaper,newscast","news,newsless, ,newslessness, ,newness, ,quasi-new, ,quasi-newly, ,unnew, ,unnewness, ,newsless, ,newness, "
"testa,Testament,testator,testimony","test,testable, ,testability, ,testingly, ,nontestable, ,nontesting, ,self-testing, ,untestable, ,untested, ,well-tested, ,testable, ,testability, ,testing, "
motion picture,movie
"love affair,lover","love,outlove, ,outloved, ,outloving.,overlove, ,overloved, ,overloving."
"northern,North Country,John Wilson","north,Frederick, 2nd Earl of Guilford "
,"personal,personalness, ,hyperpersonal, ,hyperpersonally, ,multipersonal, ,nonpersonal, ,nonpersonally, ,quasi-personal, ,quasi-personally, ,superpersonal, ,superpersonally, ,unpersonal, ,unpersonally, "
closed,"open,openly, ,openness, ,half-opened, ,preopen, ,self-opened, ,semiopen, ,semiopenly, ,semiopenness, ,unopened, ,openable, ,openly, ,openness, "
support level,"support,supportingly, ,nonsupporting, ,presupport, ,prosupport, ,quasi-supported, ,undersupport, ,unsupported, ,unsupportedly, ,unsupporting, ,well-supported, ,supportless, "
simple,simply
,"technology,antitechnology, ,supertechnology, ,supertechnologies.,technologically, ,technologist, "
"catcher,catchy","catch,catchable, ,outcatch, ,outcaught, ,outcatching.,uncatchable, ,catchable, "
step aerobics,"step,stepless, ,steplike, ,counterstep, ,counterstepped, ,counterstepping.,outstep, ,outstepped, ,outstepping.,understep, ,steplike, "
,"baby,babyhood, ,babyish, ,babyishly, ,babyishness, ,babylike, ,babyhood, ,babyish, "
computes,"computer,computerlike, ,noncomputer, "
"blood group,typewriter,typecast,typify","type,mistype, ,mistyped, ,mistyping.,mistyped, ,pretype, ,pretyped, ,pretyping.,retype, ,retyped, ,retyping.,untyped, "
,"attention,attentional, ,overattention, "
"drawing,luck","draw,drawable, ,misdraw, ,misdrew, ,misdrawn, ,misdrawing.,predraw, ,predrew, ,predrawn, ,predrawing; ,redraw, ,redrew, ,redrawn, ,redrawing, ,undrawable, ,drawable, "
,"film,filmlike, ,refilm, ,unfilmed, "
"clothes tree,crosstree,tree diagram,family tree,shoetree,boot tree,Christmas tree","tree,treelike, ,Sir Herbert Beerbohm ,treeless, ,treelessness, ,treelike, "
,"source,sourceful, ,sourcefulness, ,sourceless, "
"red light,red wine,in the black,paint,redd,re-,are","red,redly, ,Berthold ,redly, ,redness, ,redder, ,Skeltonic, "
"organizing,organized,organic,organism","organization,organizational, ,organizationally, ,antiorganization, ,misorganization, ,nonorganization, ,preorganization, ,suborganization, ,superorganization, ,underorganization, ,organizational, ,organisational, ,organizationally, ,organisationally, "
,"republican,antirepublican, ,half-republican, ,nonrepublican, ,prerepublican, ,prorepublican, ,pseudorepublican, ,semirepublican, ,unrepublican, "
,"difficult,difficultly, ,nondifficult, ,quasi-difficult, ,quasi-difficultly, ,superdifficult, ,superdifficultly, ,undifficult, ,undifficultly, ,difficultly, "
"chaff,fenster","window,windowless, ,windowy, ,unwindowed, ,well-windowed, "
evident,"evidence,counterevidence, ,preevidence, ,reevidence, ,reevidenced, ,reevidencing.,superevidence, ,unevidenced, ,well-evidenced, "
,"listen,listener, ,relisten, ,unlistening, ,listener, "
,"culture,anticulture, ,interculture, ,interculture, ,multiculture, ,nonculture, ,preculture, ,superculture, ,culturist, ,cultureless, "
"odd or even,choice","choose,choosable, ,chooser, ,prechoose, ,prechose, ,prechosen, ,prechoosing.,rechoose, ,rechose, ,rechosen, ,rechoosing.,unchoosable, ,chooser, "
,"hair,hairlike, ,dehair, ,hairlike, "
"period,decimal fraction,point of sailing,vaccine point,point lace,condition","point,multipoint, ,underpoint, ,underpoint, "
,"billion,billionth, ,billionth, "
,"chance,chanceless, ,unchanced, ,chanceful, ,chanceless, "
,"century,half-century, ,half-centuries."
"soul brother,brothers","brother,brotherless, ,brotherlike, "
potential energy,"energy,hyperenergy, ,self-energy, "
implant,"plant,plantable, ,plantless, ,plantlike, ,misplant, ,overplant, ,preplant, ,self-planted, ,subplant, ,underplant, ,unplantable, ,unplanted, ,well-planted, ,plantable, ,plantlike, "
,opportunity
"terminal,termination","term,termly, ,interterm, ,misterm, ,termly, "
"sentence,periodic","period,subperiod, ,periodically, ,quasi-periodically, ,periodically, "
"summer solstice,winter,summerlike","summer,summerless, ,summerless, ,summer-like, ,summerly, ,summery, ,summeriness, "
,"realize,realizable, ,realizability, ,realizableness, ,realizably, ,realizer, ,hyperrealize, ,hyperrealized, ,hyperrealizing.,nonrealizable, ,nonrealizing, ,prerealize, ,prerealized, ,prerealizing.,underrealize, ,underrealized, ,underrealizing.,unrealize, ,unrealized, ,unrealizing.,realizable, ,realisable, ,realizably, ,realisably, ,realization, ,realisation, ,realizer, ,realiser, "
"hard,short circuit,shortstop,short subject,short seller,shortchange,work","short,shortness, ,overshort, ,overshortness, ,unshort, ,shortness, "
spirit,"letter,letterer, ,letterless, ,letterer, "
protasis,"condition,conditionable, ,uncondition, "
"choosing,choose,chosen","choice,choiceless, ,choicely, ,choiceness, ,prechoice, ,choicely, ,choiceness, "
,"place,placeable, ,placeless, ,placelessly, ,preplace, ,preplaced, ,preplacing.,unplaced, "
twosome,"single,quasi-single, ,quasi-singly, ,unsingle, ,singleness, "
"ruler,behavior,ruler,ruling,roost","rule,interrule, ,interruled, ,interruling.,subrule, ,underrule, ,underrule, ,underruled, ,underruling.,unruled, ,rulable, "
,"daughter,daughterless, ,daughterlike, ,daughterhood, ,daughterless, ,daughter-like, ,daughterliness, ,daughterly, "
"administrator,administrator,administrators,administrator,administrators,administrative,administrator","administration,administrational, ,antiadministration, ,misadministration, ,preadministration, ,proadministration, ,self-administration, ,subadministration, ,superadministration, ,administrative, ,administratively, "
,south
,"husband,husbander, ,husbandless, ,unhusbanded, ,husbander, ,husbandless, "
,"floor,floorless, ,underfloor, ,unfloor, "
,"campaign,campaigner, ,countercampaign, ,precampaign, ,recampaign, ,uncampaigning, ,campaigner, "
,"congress,pre-Congress, ,Congressional, "
,"material,materialness, ,prematerial, ,quasi-material, ,quasi-materially, ,supermaterial, ,transmaterial, ,unmaterial, ,unmaterially, ,materialness, "
,"population,populational, ,populationless, ,repopulation, ,subpopulation, ,superpopulation, "
economy class,"economy,noneconomy, ,noneconomies.,subeconomy, ,subeconomies.,supereconomy, ,supereconomies."
"question,sick,order","call,uncalled, "
medicine,"medical,medically, ,antimedical, ,antimedically, ,nonmedical, ,nonmedically, ,pseudomedical, ,pseudomedically, ,quasi-medical, ,quasi-medically, ,unmedical, ,unmedically, ,medically, "
,"hospital,minihospital, ,multihospital, ,posthospital, "
,"church,antichurch, ,nonchurch, ,prochurch, "
"closed,complimentary close,cadence","close,closable, ,closeable ,closely ,closeness ,nonclose, ,nonclosely, ,overclose, ,overclosely, ,overcloseness, ,preclose, ,preclosed, ,preclosing.,unclosable, ,closely, ,closeness, ,closer, "
,"risk,risker, ,riskless, ,unrisked, ,risker, "
electric current,"current,currently, ,noncurrent, ,noncurrently, ,precurrent, ,uncurrent, ,uncurrently, ,currently, ,currentness, "
"Greek fire,firearms","fire,firer, ,counterfire, ,counterfired, ,counterfiring.,refire, ,refired, ,refiring.,unfired, ,fireable, ,fireless, ,firer, "
,"wrong,wronger, ,wrongly, ,wrongness, ,quasi-wrong, ,wronger, ,wrongly, ,wrongness, "
,"future,futureless, "
,"involve,involvement, ,involver, ,interinvolve, ,interinvolved, ,interinvolving.,noninvolvement, ,overinvolve, ,overinvolved, ,overinvolving.,preinvolve, ,preinvolved, ,preinvolving.,preinvolvement, ,reinvolve, ,reinvolved, ,reinvolving.,reinvolvement, ,involvement, ,involver, "
"defense mechanism,defend","defense,defenseless, ,defenselessly, ,defenselessness, ,nondefense, ,predefense, ,undefensed, "
,"increase,increasable, ,increasedly ,nonincreasable, ,nonincrease, ,preincrease, ,preincrease, ,preincreased, ,preincreasing.,proincrease, ,quasi-increased, ,reincrease, ,reincreased, ,reincreasing, ,superincrease, ,superincreased, ,superincreasing.,superincrease, ,unincreasable, ,unincreased, ,increasable, ,increasingly, ,increaser, "
,"security,nonsecurity, ,nonsecurities.,oversecurity, ,self-security, ,subsecurity, ,subsecurities."
banker,bank
western,"west,anti-West, "
"sports,sports,oak","sport,sportful, ,sportfully, ,sportfulness, ,sportless, ,outsport, ,unsported, ,unsportful, ,sporter, ,sportful, ,sportfully, ,sportfulness, "
"surfboard,circuit board,board check,tread","board,boardable, ,boardlike, ,reboard, ,unboarded, ,boardable, "
,"seek,outseek, ,outsought, ,outseeking.,reseek, ,resought, ,reseeking.,unseeking, ,seeker, "
,"subject,subjectable, ,subjectability, ,subjectedly, ,subjectedness, ,subjectless, ,subjectlike, ,nonsubject, ,nonsubjected, ,presubject, ,resubject, ,unsubject, ,unsubjected, ,subjectable, ,subjectability, ,subjectless, ,subject-like, "
,"officer,officerial ,officerless, ,officership, ,officerhood, ,subofficer, ,underofficer, ,unofficered, "
private parts,"private,privately, ,privateness, ,quasi-private, ,quasi-privately, ,unprivate, ,unprivately, ,unprivateness, ,privately, "
"bridge,surplus,lance rest","rest,rester, ,rester, "
,"behavior,behavioral, ,behaviorally, ,interbehavior, ,interbehavioral, ,interbehaviorally, "
dealings,deal
"performing,performing","performance,misperformance, ,reperformance, "
"shy,tilt","fight,fightable, ,fightability, ,fightingly, ,outfight, ,outfought, ,outfighting.,prefight, ,refight, ,refought, ,refighting.,unfightable, ,fighting, "
"cold,gauntlet,sponge,towel,bathwater,bull","throw,misthrow, ,misthrew, ,misthrown, ,misthrowing.,thrower, "
"bottom,crown,head,topo-","top,untopped, "
,"goal,goalless, ,subgoal, ,goalless, "
"skirt,bed and board,embed","bed,bedless, ,bedlike, ,interbed, "
,"order,orderable, ,orderer, ,orderless, ,counterorder, ,misorder, ,preorder, ,unorderable, ,orderer, ,orderless, "
,"author,authorial ,authorless, ,multiauthored, ,proauthor, "
"filling,bill","fill,fillable, ,unfilled, "
"present,representations","re-present,representable, ,representability, ,nonrepresentable, ,prerepresent, ,unrepresentable, ,representable, ,representability, "
,"focus,focusable, ,focuser, ,misfocus, ,misfocused, ,misfocusing ,misfocussed, ,misfocussing.,misfocused, ,misfocussed, ,overfocus, ,overfocused, ,overfocusing ,overfocussed, ,overfocussing.,refocus, ,refocused, ,refocusing ,refocussed, ,refocussing.,self-focused, ,self-focusing, ,self-focussed, ,self-focussing, ,unfocusing, ,unfocussing, ,well-focused, ,well-focussed, ,focusable, ,focuser, "
,"foreign,foreignly, ,foreignness, ,nonforeign, ,nonforeignness, ,proforeign, ,quasi-foreign, ,unforeign, ,foreignly, ,foreignness, "
"trapdoor,gutta,bucket","drop,droplike, ,undropped, "
plano-,"plan,planless, ,planlessly, ,planlessness, ,misplan, ,misplanned, ,misplanning.,outplan, ,outplanned, ,outplanning.,overplan, ,overplanned, ,overplanning.,preplan, ,preplanned, ,preplanning.,replan, ,replanned, ,replanning.,underplan, ,underplan, ,underplanned, ,underplanning.,unplan, ,unplanned, ,unplanning."
"bloodshed,sweat","blood,bloodlike, "
"agent,Indian agency,agent,agent","agency,subagency, ,subagencies.,underagency, ,underagencies."
"pushing,luck","push,outpush, ,unpushed, "
"timbre,tone color,flying colors","color,colorer, ,overcolor, ,precolor, ,recolor, ,transcolor, ,undercolor, ,colorable, ,colorer, ,colorful, ,coloring, ,colorist, ,colorless, "
natural,"nature,naturelike, ,antinature, "
,"store,storer, ,overstore, ,overstored, ,overstoring.,substore, ,storable, "
,"reduce,antireducing, ,nonreducing, ,overreduce, ,overreduced, ,overreducing.,reducible, ,reducibility, ,reducibly, "
,"sound,soundable, ,unsoundable, ,soundly, ,soundness, ,soundable, ,Øresund ,Öresund ,soundable, ,soundly, ,soundness, "
annotate,"note,noter, ,prenote, ,prenoted, ,prenoting.,subnote, ,undernote, ,unnoting, ,noteless, "
"refined,refining,refining",fine
entero-,"enter,enterable, ,enterer, ,preenter, ,unenterable, ,unentered, ,well-entered, ,enterable, ,enterer, "
,"common,commonness, ,overcommon, ,overcommonly, ,overcommonness, ,quasi-common, ,quasi-commonly, ,commonness, "
,"poor,poorness, ,nonpoor, ,quasi-poor, ,quasi-poorly, ,poorness, "
bowel movement,"movement,countermovement, "
,"share,sharable, ,shareable, ,sharer, ,nonsharing, ,unsharable, ,unshareable, ,unshared, ,unsharing, ,sharable, ,shareable, ,sharer, "
"horse racing,gingerroot","race,antiracing, ,preracing, ,proracing, "
,"concern,overconcern, ,preconcern, ,self-concern, "
"artificial,Afro,blackjack,Afro","natural,naturalness, ,antinatural, ,antinaturally, ,antinaturalness, ,hypernatural, ,hypernaturally, ,hypernaturalness, ,nonnatural, ,nonnaturally, ,nonnaturalness, ,prenatural, ,quasi-natural, ,quasi-naturally, ,subnatural, ,subnaturally, ,subnaturalness, ,transnatural, ,transnaturally, ,naturalness, "
,"series,multiseries, ,multiseries.,subseries, ,subseries.,superseries, ,superseries."
collar,"hot,hotly, ,hotness, ,overhot, ,overhotly, ,ultrahot, ,unhot, ,hotly, ,hotness, "
speech,"language,prelanguage, "
,"response,responseless, ,counterresponse, ,responseless, "
brain-dead,"dead,deadness, ,deadness, "
"raise,raise","rise,rerise, ,rerose, ,rerisen, ,rerising.,unrisen, "
animality,"animal,animalic ,animalian ,nonanimal, ,semianimal, ,superanimal, "
,"decade,half-decade, ,decadal, "
"factor of production,antihemophilic factor,Christmas factor","factor,factorable, ,factorability, ,factorship, ,subfactor, ,underfactor, ,unfactorable, ,unfactored, ,factorable, ,factorability, ,factorship, "
"definite article,indefinite article","article,subarticle, "
"bolt,wad,breeze,bull,work",shoot
"fine arts,performing arts",artist
eastern,"east,eastness, ,Eastern, "
Sava,"save,savable, ,saveable, ,savableness, ,saveableness, ,saver, ,unsavable, ,unsaveable, ,unsaved, ,savable, ,saveable, ,savableness, ,saveableness, ,saver, "
"livestock,stuff,rolling stock,boneyard,stock car,lock","stock,stocklike, ,destock, ,nonstock, ,prestock, ,substock, ,unstocked, ,stocker, "
scenery,"scene,interscene, "
,career
,"central,centrally, ,centrally, "
treating,"treatment,nontreatment, ,overtreatment, ,posttreatment, ,self-treatment, "
,"happy,overhappy, ,quasi-happy, ,happily, ,happiness, "
protection,"protect,protectible, ,protectable, ,protectibility, ,protectability, ,overprotect, ,quasi-protected, ,semiprotected, ,unprotectable, ,unprotected, ,well-protected, "
,"approach,approacher, ,approachless, ,reapproach, ,unapproached, ,unapproaching, ,well-approached, "
"state,low","lie,(Marius) Sophus ,Trygve Halvdan "
,"size,sizer, ,sizy, "
"feet,hot dog,throw","dog,dogless, ,doglike, ,doglike, "
,"fund,nonfunded, ,overfund, ,overfund, ,prefund, ,underfund, ,underfunded, ,underfunding, ,funder, "
,"occur,preoccur, ,preoccurred, ,preoccurring.,reoccur, ,reoccurred, ,reoccurring.,unoccurring, "
"medium,median strip",media
"sign of the zodiac,sign language,signature,signature,sign of the cross,signal,sign language,signature,signal,sign language,signature","sign,signless, ,signlike, ,postsign, ,unsigned, ,signable, "
"thinks,thinking,think,nothing","thought,thinker, "
"list price,listserv,enlist,lister,fillet,listen","list,Friedrich ,listable, "
ready money,"ready,overready, ,preready, "
"simpleminded,compound,linear","simple,simpleness, ,oversimple, ,oversimpleness, ,oversimply, ,subsimple, ,ultrasimple, ,unsimple, ,unsimpleness, ,unsimply, ,simpleness, "
,"individual,interindividual, ,nonindividual, ,superindividual, ,superindividually, ,transindividual, ,individually, "
,"quality,qualityless, ,nonquality, ,nonqualities.,subquality, ,subqualities."
"atmospheric pressure,electromotive force,pressed,compressed,pressurize","pressure,pressureless, ,interpressure, ,nonpressure, ,superpressure, ,underpressure, ,unpressured, ,pressureless, "
,"answer,answerer, ,answerless, ,unanswered, ,unanswering, ,well-answered, "
,"accept,preaccept, ,reaccept, ,accepter, "
"hard labor,hearing-impaired","hard,overhard, ,overhardness, ,semihard, ,semihardness, "
"identity,identification,identification,identification","identify,identifiable, ,identifiability, ,identifiableness, ,identifier, ,overidentify, ,overidentified, ,overidentifying.,preidentify, ,preidentified, ,preidentifying.,reidentify, ,reidentified, ,reidentifying.,unidentifiable, ,unidentifiably, ,unidentified, ,unidentifying, ,well-identified, ,identifiable, ,identifiably, "
"right,left field,leave,let,alone","left,leaver, ,leaver, "
,"resource,resourceless, ,resourcelessness, ,resourceless, ,resourcelessness, "
,"disease,diseasedly, ,diseasedness, "
"meeting house,intersection,cute","meeting,submeeting, ,meeter, ,meeter, ,meetly, "
,"determine,interdetermine, ,interdetermined, ,interdetermining.,quasi-determine, ,quasi-determined, ,quasi-determining.,redetermine, ,redetermined, ,redetermining.,undetermining, "
,amount
"cupping glass,cupping glass","cup,cuplike, ,undercup, ,cuplike, "
"-able,-ity","ability,subability, ,subabilities."
,"staff,staffless, ,unstaffed, "
,"recognize,recognizable ,recognizability, ,recognizably, ,recognizer, ,nonrecognized, ,prerecognize, ,prerecognized, ,prerecognizing.,quasi-recognized, ,unrecognizable, ,unrecognizably, ,unrecognized, ,unrecognizing, ,well-recognized, ,recognizable, ,recognisable, ,recognizability, ,recognisability, ,recognizably, ,recognisably, ,recognizer, ,recogniser, "
,"prepare,preparer, ,reprepare, ,reprepared, ,repreparing.,unpreparing, ,preparer, "
,"argue,arguer, ,counterargue, ,counterargued, ,counterarguing.,overargue, ,overargued, ,overarguing.,reargue, ,reargued, ,rearguing.,well-argued, ,arguer, "
outcome,"success,successless, ,successlessly, ,successlessness, ,nonsuccess, ,presuccess, ,semisuccess, ,successless, "
"growing,grown,grows,grow","growth,antigrowth, ,pregrowth, ,regrowth, ,supergrowth, "
,"character,characterless, ,uncharactered, ,characterful, ,characterless, "
,"loss,preloss, "
,"degree,degreed, ,degreeless, ,predegree, ,undegreed, ,underdegreed, ,degreeless, "
,"attack,attackable, ,attacker, ,nonattacking, ,postattack, ,proattack, ,reattack, ,unattackable, ,unattacked, ,attackable, ,attacker, ,attacking, "
,"region,underregion, "
,"television,televisional ,televisionally, ,televisionary ,pretelevision, ,televisional, ,televisionally, ,televisionary, "
"post-office box,box stall,boxing,boxer,boxlike","box,boxlike, ,boxlike, "
"trained,trained,training","training,half-training, ,nontraining, ,pretraining, ,self-training, ,trainless, ,minitrain, ,mistrain, ,nontrained, ,overtrain, ,pretrain, ,semitrained, ,supertrain, ,undertrain, ,undertrained, ,untrained, ,trainable, ,trainless, "
,"pretty,prettily, ,prettiness, ,prettyish, ,unprettily, ,unprettiness, ,unpretty, ,prettily, ,prettiness, "
television,TV
dealings,deal
"trade paper,trade wind","trade,tradable, ,tradeable, ,tradeless, ,intertrade, ,intertraded, ,intertrading.,nontrade, ,nontrading, ,protrade, ,retrade, ,retraded, ,retrading, ,undertrade, ,undertraded, ,undertrading.,untradable, ,untradeable, ,untraded, ,untrading, ,tradable, ,tradeable, ,tradeless, "
electing,"election,interelection, ,nonelection, ,postelection, ,reelection, ,self-election, ,subelection, "
"physics,physical examination","physical,physically, ,physicalness, ,antiphysical, ,antiphysically, ,antiphysicalness, ,nonphysical, ,nonphysically, ,quasi-physical, ,quasi-physically, ,transphysical, ,transphysically, ,unphysical, ,unphysically, ,physically, ,physicalness, "
"lie,batten,low,siege,lie,laity,state,low",lay
,"general,generalness, ,pseudogeneral, ,undergeneral, ,generalness, "
pain,"feeling,feelingly, ,feelingness, ,nonfeeling, ,nonfeelingly, ,underfeeling, ,overfeel, ,overfelt, ,overfeeling.,refeel, ,refelt, ,refeeling.,feelingly, "
,"standard,prestandard, ,superstandard, ,unstandard, "
"bill of exchange,playbill,William,Eliot, George,Fort Monroe,Terrence,Theodore,Theresa","bill,biller, ,Herbert McLean ,Robley Dunglison ,Rudulph ,William Felton "
,"message,intermessage, "
,"fail,unfailed, "
,"arrive,arriver, ,unarrived, ,unarriving, ,arriver, "
"synthesis,psychoanalysis,systems analysis","analysis,misanalysis, ,misanalyses.,overanalysis, ,overanalyses.,reanalysis, ,reanalyses."
benefaction,"benefit,benefiter, ,benefitter, ,prebenefit, ,prebenefited ,prebenefitted, ,prebenefiting ,prebenefitting.,self-benefit, ,self-benefiting, ,self-benefitting, ,superbenefit, ,unbenefited, ,unbenefitted, ,unbenefiting, ,unbenefitting, "
"coitus,genitalia,six",sex
"court of law,law","lawyer,lawyerlike, ,lawyerly, ,delawyer, ,nonlawyer, ,underlawyer, ,unlawyerlike, ,unlawyerly, "
environmental art,"environment,environmental, ,environmentally, ,interenvironmental, ,nonenvironmental, ,nonenvironmentally, ,preenvironmental, ,proenvironmental, ,environmental, ,environmentally, "
"glassware,glassful,magnifying glass,spyglass,fiberglass,spyglass","glass,glassless, ,glasslike, ,nonglass, ,unglassed, ,glassless, ,glasslike, "
,"answer,answerer, ,answerless, ,unanswered, ,unanswering, ,well-answered, "
,"skill,skill-less, ,skilless, "
"stepsister,sisterhood","sister,sisterless, ,sisterlike, ,nonsister, "
"full professor,associate professor,assistant professor,professes","professor,professorial ,professorialism, ,professorially, ,nonprofessorial, ,nonprofessorially, ,pseudoprofessorial, ,subprofessor, ,unprofessorial, ,unprofessorially, ,professorially, "
,"operation,misoperation, ,preoperation, ,reoperation, ,suboperation, "
,"financial,financially, ,nonfinancial, ,nonfinancially, ,prefinancial, ,quasi-financial, ,quasi-financially, ,financially, "
criminal,"crime,crimeless, ,crimelessness, ,anticrime, ,supercrime, "
"sound stage,stagecoach","stage,stageable, ,stageability, ,stageableness, ,stageably, ,interstage, ,restage, ,restaged, ,restaging.,superstage, ,understage, "
"promethium,premium,Paymaster,Postmaster",p.m.
"comparison,note","compare,comparer, ,intercompare, ,intercompared, ,intercomparing.,precompare, ,precompared, ,precomparing.,recompare, ,recompared, ,recomparing.,uncompared, ,well-compared, ,comparer, "
authorization,"authority,antiauthority, "
,"sort,sortable, ,sortably, ,sorter, ,missort, ,subsort, ,subsort, ,subsorter, ,undersort, ,unsort, ,unsortable, ,sortable, ,sortably, ,sorter, "
church,"state,statable, ,stateable, ,antistate, ,counterstate, ,counterstated, ,counterstating.,outstate, ,outstated, ,outstating.,substate, ,unstatable, ,unstateable, ,statable, ,stateable, ,statehood, "
"electron gun,gin,gunnery,cotton gin","gun,gunless, ,ginner, ,ginner, "
"tenor,tenuto",ten
stations of the cross,"station,stational, ,interstation, ,restation, ,unstation, ,unstationed, "
,"knowledge,knowledgeless, ,preknowledge, ,superknowledge, "
"bluing,bluestocking,blue ribbon,blueline","blue,bluely, ,blueness, ,unblued, ,bluely, ,blueness, "
,"design,outdesign, ,overdesign, ,predesign, ,redesign, ,self-design, ,underdesign, ,designable, "
,"strategy,counterstrategy, ,counterstrategies."
,"discuss,discusser, ,discussable, ,discussible, ,nondiscussible, ,overdiscuss, ,prediscuss, ,rediscuss, ,undiscussable, ,undiscussed, ,undiscussible, ,well-discussed, ,discussant, ,discusser, ,discussible, ,discussable, "
force play,"force,forceable, ,forceless, ,forcer, ,forcingly, ,interforce, ,overforce, ,overforce, ,overforced, ,overforcing.,unforceable, ,unforcing, ,forceable, ,forceless, ,forcer, ,forcingly, "
"true,true,truthfulness","truth,truthless, ,truthlessness, ,mistruth, ,nontruth, ,Sojourner ,truthless, "
"singing,singing,sung,singing,sung,Soong, Ai-ling,Soong, Ching-ling,Soong, Mei-ling,Soong, Tse-ven,Sung","song,songlike, ,Ailing ,Qingling ,Meiling ,Ziwen ,songlike, "
,"democratic,democratically, ,antidemocratic, ,antidemocratical, ,antidemocratically, ,half-democratic, ,hyperdemocratic, ,nondemocratic, ,nondemocratical, ,nondemocratically, ,predemocratic, ,prodemocratic, ,pseudo-Democratic, ,pseudodemocratic, ,pseudodemocratically, ,quasi-democratic, ,quasi-democratically, ,superdemocratic, ,superdemocratically, ,undemocratic, ,undemocratically, ,democratically, "
"checkrows,checkered","check,checkless, ,checkable, "
environmental art,"environment,environmental, ,environmentally, ,interenvironmental, ,nonenvironmental, ,nonenvironmentally, ,preenvironmental, ,proenvironmental, ,environmental, ,environmentally, "
darkness,"dark,nondark, ,predark, ,darkish, ,darkly, ,darkness, "
"bride,legal,legate,legato,legend,legislation,legislative,legislature","leg,legless, ,leglike, ,leglike, "
public house,"public,nonpublic, ,quasi-public, ,quasi-publicly, ,unpublic, ,unpublicly, "
,"guess,guessable, ,guesser, ,guessingly, ,preguess, ,unguessable, ,unguessed, ,guessable, ,guesser, ,guessingly, "
execution,"executive,executively, ,executiveness, ,nonexecutive, ,proexecutive, ,semiexecutive, ,executively, "
"nail set,sett,face,store","set,interset, ,interset, ,intersetting.,misset, ,misset, ,missetting."
"laughter,sleeve","laugh,outlaugh, ,laugher, ,laughing, ,laughingly, "
,"study,studiable, ,studier, ,nonstudy, ,nonstudies.,outstudy, ,outstudied, ,outstudying.,prestudy, ,prestudied, ,prestudying, ,prestudies.,restudy, ,restudies, ,restudied, ,restudying."
,"prove,provable, ,provability, ,provableness, ,provably, ,provenly, ,prover, ,half-proven, ,nonprovable, ,overprove, ,overproved, ,overproved ,overproven, ,overproving.,preprove, ,preproved, ,preproved ,preproven, ,preproving.,self-proving, ,semiproven, ,unprovable, ,unproved, ,unproven, ,unproving, ,well-proven, ,provable, ,provability, ,provably, "
head,"hang,hangable, ,hangability, ,rehang, ,rehung ,rehanged, ,rehanging.,underhang, ,underhung, ,underhanging.,unhanged, "
entirety,"entire,entireness, ,subentire, ,entireness, "
"rock candy,cradle,rocker,cradle,rock-'n'-roll,rock-'n'-roll,striped bass","rock,rockless, ,rocklike, ,rockable, ,rockingly, ,unrocked, "
,"design,outdesign, ,overdesign, ,predesign, ,redesign, ,self-design, ,underdesign, ,designable, "
,"forget,forgettable, ,forgetter, ,unforgetting, ,forgettable, ,forgetter, "
,"claim,claimable, ,claimless, ,misclaim, ,nonclaimable, ,overclaim, ,preclaim, ,superclaim, ,unclaimed, ,unclaiming, ,claimable, ,claimer, "
annotate,"note,noter, ,prenote, ,prenoted, ,prenoting.,subnote, ,undernote, ,unnoting, ,noteless, "
manages,"manager,managership, ,submanager, ,submanagership, ,undermanager, ,managership, "
removal,"remove,preremove, ,preremoved, ,preremoving.,removable, ,removability, ,removableness, ,removably, ,remover, "
"closed,complimentary close,cadence","close,closable, ,closeable ,closely ,closeness ,nonclose, ,nonclosely, ,overclose, ,overclosely, ,overcloseness, ,preclose, ,preclosed, ,preclosing.,unclosable, ,closely, ,closeness, ,closer, "
,"sound,soundable, ,unsoundable, ,soundly, ,soundness, ,soundable, ,Øresund ,Öresund ,soundable, ,soundly, ,soundness, "
,"enjoy,enjoyer, ,enjoyingly, ,preenjoy, ,reenjoy, ,unenjoyed, ,unenjoying, ,unenjoyingly, ,enjoyable, ,enjoyableness, ,enjoyably, ,enjoyer, "
