control variable controller control controllable controllability controllableness controllably controlless controllingly noncontrollable noncontrollably noncontrolled noncontrolling overcontrol overcontrolled overcontrolling precontrol precontrolled precontrolling quasi-controlled quasi-controlling subcontrol subcontrolled subcontrolling supercontrol uncontrolled uncontrolling well-controlled controllable controllability controllableness controllably 				
operation operate operatable preoperate preoperated preoperating reoperate reoperated reoperating unoperatable unoperated well-operated 				
pain feeling feelingly feelingness nonfeeling nonfeelingly underfeeling overfeel overfelt overfeeling refeel refelt refeeling feelingly 				
sound stage stagecoach stage stageable stageability stageableness stageably interstage restage restaged restaging superstage understage 				
origin originator original nonoriginal nonoriginally preoriginal preoriginally quasi-original quasi-originally unoriginal unoriginally 				
Sava save savable saveable savableness saveableness saver unsavable unsaveable unsaved savable saveable savableness saveableness saver 				
argue arguer counterargue counterargued counterarguing overargue overargued overarguing reargue reargued rearguing well-argued arguer 				
can Carew Caroline carry carriable carryable half-carried recarry recarried recarrying uncarried undercarry undercarried undercarrying				
department departmental departmentally nondepartmental nondepartmentally predepartmental subdepartment subdepartmental departmentally 				
directs director directorship predirector self-director subdirector subdirectorship directorial directorially directorship directress 				
new newspaper newsworthy newspaper newscast news newsless newslessness newness quasi-new quasi-newly unnew unnewness newsless newness 				
season seasonedly seasoner seasonless nonseasoned overseason postseason preseason reseason well-seasoned seasoned seasoner seasonless 				
China China China China Chinese non-Chinese non-Chinese pre-Chinese pre-Chinese pro-Chinese pro-Chinese pseudo-Chinese pseudo-Chinese				
covering cover charge cover version cover coverable coverer coverless half-covered precover well-covered coverable coverer coverless 				
jump bid turn jump discontinuity jump-start bail throat ship gun shark jump jumpable jumpingly outjump unjumpable jumpable jumpingly 				
pattern patternable patterned patterner patternless patternlike patterny nonpatterned repattern semipatterned subpattern unpatterned 				
assume assumer overassume overassumed overassuming preassume preassumed preassuming reassume reassumed reassuming assumable assumer 				
taxo- tax taxer taxingly taxless taxlessly taxlessness antitax nontax nontaxer protax retax subtaxer undertaxed untax taxer taxless 				
conk conk conked process cinematography process processual overprocess preprocess reprocess semiprocessed transprocess unprocessed 				
ecclesiastical society society societyless intersociety nonsociety nonsocieties subsociety subsocieties undersociety undersocieties				
hard short circuit shortstop short subject short seller shortchange work short shortness overshort overshortness unshort shortness 				
material materialness prematerial quasi-material quasi-materially supermaterial transmaterial unmaterial unmaterially materialness 				
glassware glassful magnifying glass spyglass fiberglass spyglass glass glassless glasslike nonglass unglassed glassless glasslike 				
limit limitable limitableness overlimit relimit underlimit underlimit limitable limitableness limitless limitlessly limitlessness 				
public publishing publish publishable mispublished nonpublishable unpublishable unpublished well-published publishable publishing 				
step aerobics step stepless steplike counterstep counterstepped counterstepping outstep outstepped outstepping understep steplike 				
step aerobics step stepless steplike counterstep counterstepped counterstepping outstep outstepped outstepping understep steplike 				
budget budgetary budgeter nonbudgetary prebudget prebudgetary pro-budgeting rebudget rebudgeted rebudgeting unbudgeted budgetary 				
republican antirepublican half-republican nonrepublican prerepublican prorepublican pseudorepublican semirepublican unrepublican 				
construct structure destructure destructured destructuring interstructure nonstructure prestructure prestructured prestructuring				
slow slowly slowness overslow overslowly overslowness ultraslow ultraslowly unslow unslowly unslowness unslowed slowly slowness 				
closed open openly openness half-opened preopen self-opened semiopen semiopenly semiopenness unopened openable openly openness 				
closed open openly openness half-opened preopen self-opened semiopen semiopenly semiopenness unopened openable openly openness 				
composing stick stick shift composing stick shove shove neck gun stick stickless sticklike stickable stickability restickable 				
discover discoverable discoverably nondiscoverable prediscover rediscover undiscoverable undiscovered discoverable discoverer 				
Greek fire firearms fire firer counterfire counterfired counterfiring refire refired refiring unfired fireable fireless firer 				
provision provide providable overprovide overprovided overproviding preprovide preprovided preproviding unprovidable provider 				
stamp low-cal local localness interlocal interlocally nonlocal nonlocally superlocal superlocally unlocal unlocally localness 				
warmth warmth warm warmer warmish warmly warmness overwarmed prewarm rewarm unwarmed unwarming warmer warmish warmly warmness 				
theft base touch touchable touchableness touchability toucher touchless intertouch touchable touchableness toucher touchless 				
attack attackable attacker nonattacking postattack proattack reattack unattackable unattacked attackable attacker attacking 				
creative create creatable intercreate intercreated intercreating self-created self-creating uncreatable uncreated creatable 				
delivery deliver deliverer misdeliver outdeliver predeliver undelivered well-delivered deliverable deliverability deliverer 				
housing project project projectable projectingly counterproject nonprojecting reproject subproject unprojected unprojecting 				
require requirable requirer nonrequirable prerequire prerequired prerequiring quasi-required unrequired requirable requirer 				
rock candy cradle rocker cradle rock- n -roll rock- n -roll striped bass rock rockless rocklike rockable rockingly unrocked 				
spider Southern Cross heart mind path line cross cross crossable crossability recross uncrossable crosser crossly crossness 				
total quasi-total quasi-totally retotal retotaled retotaling retotalled retotalling supertotal untotaled untotalled totally 				
feeder feed feedable outfeed outfed outfeeding refeed refed refeeding unfeedable feeless overfee superfee feedable feeless 				
livestock stuff rolling stock boneyard stock car lock stock stocklike destock nonstock prestock substock unstocked stocker 				
continuation continue continuable continuer continuingly noncontinuable noncontinuably continuable continuer continuingly 				
evident evidence counterevidence preevidence reevidence reevidenced reevidencing superevidence unevidenced well-evidenced 				
producing produced product producing produced produced production productional nonproduction superproduction productional 				
synthesis psychoanalysis systems analysis analysis misanalysis misanalyses overanalysis overanalyses reanalysis reanalyses				
economics economy economy economical economic antieconomic noneconomic preeconomic quasi-economic subeconomic uneconomic 				
interview interviewable preinterview quasi-interviewed reinterview self-interview uninterviewed interviewee interviewer 				
private parts private privately privateness quasi-private quasi-privately unprivate unprivately unprivateness privately 				
bright brightish brightly overbright overbrightly overbrightness superbright unbright unbrightly unbrightness brightly 				
substance form formable formably misform misformed nonform nonforming overformed semiformed subform underform formable 				
substance form formable formably misform misformed nonform nonforming overformed semiformed subform underform formable 				
surveying surveying survey surveyable presurvey presurvey self-survey self-surveyed unsurveyable unsurveyed surveyable 				
carriage horsepower traveler heroin horse horseless horselike underhorse underhorsed underhorsing horseless horselike 				
enjoy enjoyer enjoyingly preenjoy reenjoy unenjoyed unenjoying unenjoyingly enjoyable enjoyableness enjoyably enjoyer 				
fine arts fine arts the humanities term of art be Arthur -ard artificial artillery artist Monck George art Thelonious 				
fly ball handle housefly mayfly firefly fly flyable flyability nonflyable reflyable unflyable flyless flyable flyless 				
strong strongish strongly strongness overstrong overstrongly overstrongness superstrong strongish strongly strongness 				
back faceplate facing music fly face faceable subface underface underface underfaced underfacing unfaceable faceable 				
back faceplate facing music fly face faceable subface underface underface underfaced underfacing unfaceable faceable 				
beatnik beatniks retreat bush rap beat beatable overbeat overbeat overbeaten overbeat overbeating underbeat beatable 				
claim claimable claimless misclaim nonclaimable overclaim preclaim superclaim unclaimed unclaiming claimable claimer 				
claim claimable claimless misclaim nonclaimable overclaim preclaim superclaim unclaimed unclaiming claimable claimer 				
score scoreless scorer nonscoring outscore outscored outscoring rescore rescored rescoring unscored unscoring scorer 				
sort sortable sortably sorter missort subsort subsort subsorter undersort unsort unsortable sortable sortably sorter 				
avoid avoidable avoidably avoider nonavoidable nonavoidableness nonavoidably unavoiding avoidable avoidably avoider 				
culture anticulture interculture interculture multiculture nonculture preculture superculture culturist cultureless 				
number numberable numberer denumber misnumber prenumber renumber subnumber numbly numbness unnumbed numbly numbness 				
book of account book value bookmaker bookmaker book of account cook book bookless booklike prebook rebook unbooked 				
period decimal fraction point of sailing vaccine point point lace condition point multipoint underpoint underpoint 				
period decimal fraction point of sailing vaccine point point lace condition point multipoint underpoint underpoint 				
secular regular regularity regularness quasi-regular quasi-regularly subregular subregularity regularity regularly 				
addition addition attention deficit disorder add addable addible addedly misadd readd unaddable unadded unaddible 				
electric current current currently noncurrent noncurrently precurrent uncurrent uncurrently currently currentness 				
guard guardable guarder guardless guardlike preguard underguard unguardable guardable guarder guardless guardlike 				
Jesus Christ Jesus Christ Jesus Christ Jesus Christ Christianity Christ Disciples of Christ Christian Christianly 				
motion motion movement move countermove countermove countermoved countermoving outmove outmoved outmoving unmoved 				
patronage coverage protectionism protection protectional nonprotection overprotection protectionism protectionist 				
winter solstice summer winter winterer winterish winterishly winterless winterer winterish winter-like winterless 				
foreign foreignly foreignness nonforeign nonforeignness proforeign quasi-foreign unforeign foreignly foreignness 				
management capital labor laboringly laborless antilabor nonlabor outlabor overlabor prelabor prolabor unlaboring 				
mention mentionable mentioner intermention premention remention undermentioned unmentioned mentionable mentioner 				
tropic Cancri cancer cancerous cancered cancerously cancerousness noncancerous uncancerous cancerous cancerously 				
bowling green green light green greenage greenly nongreen outgreen ungreened greenish greenly greenness greeny 				
lease press release re-lease releasability releasable releasible nonrelease unreleasable unreleasible releaser 				
receive interreceive interreceived interreceiving nonreceiving prereceive prereceived prereceiving unreceiving 				
share sharable shareable sharer nonsharing unsharable unshareable unshared unsharing sharable shareable sharer 				
share sharable shareable sharer nonsharing unsharable unshareable unshared unsharing sharable shareable sharer 				
wanton nice nicely niceness overnice overnicely overniceness unnice unnicely unniceness nicely niceness nicish 				
talk talkable talkability talker intertalk nontalker overtalk undertalk untalking talkable talkability talker 				
talk talkable talkability talker intertalk nontalker overtalk undertalk untalking talkable talkability talker 				
establish establishable establisher quasi-established reestablish superestablish unestablishable establisher 				
financial financially nonfinancial nonfinancially prefinancial quasi-financial quasi-financially financially 				
hearing hear hearable hearer outhear outheard outhearing rehear reheard rehearing unhearable hearable hearer 				
legal legally postlegal prelegal pseudolegal quasi-legal quasi-legally unlegal unlegally unlegalness legally 				
pressure pressure pressure pressured pressure printing press pressure pressure flesh impress press pressable 				
servant service server serve servable serveable overserve underserved unservable unserved servable serveable 				
television televisional televisionally televisionary pretelevision televisional televisionally televisionary 				
defense mechanism defend defense defenseless defenselessly defenselessness nondefense predefense undefensed 				
directing directed directorate directing direction directionless predirection self-direction superdirection 				
postcard calling card scorecard compass card trading card identity card Cardinal card carder carding carder 				
sample intersample intersampled intersampling missample missampled missampling resample resampled resampling				
tradition traditionless antitradition countertradition nontradition protradition traditionless traditionist 				
yard garden-variety garden gardenable gardenless gardenlike ungardened well-gardened gardenless garden-like 				
Africa Africa Africa African Africanness inter-African non-African proAfrican pseudo-African trans-African 				
British English British Britishly Britishness anti-British non-British pre-British pro-British Britishness 				
collecting collected collected collected collection collectional noncollection precollection subcollection 				
managing managing labor management managemental antimanagement nonmanagement promanagement self-management 				
outside lax wide wide wideness overwide overwidely overwideness superwide ultrawide widely wideness widish 				
sex sexes sexes sexual sexually antisexual antisexually nonsexual nonsexually unsexual unsexually sexually 				
base hit bottle hit hitless hittable hitter nonhit outhit outhit outhitting self-hitting unhit unhittable 				
head hang hangable hangability rehang rehung rehanged rehanging underhang underhung underhanging unhanged 				
ice cream Iceland Icelandic ice iceless icelike reice reiced reicing unice uniced unicing iceless icelike 				
investigating investigated investigation investigational preinvestigation reinvestigation investigational 				
vote prevote prevoted prevoting revote revoted revoting revote unvoted unvoting votable voteable voteless 				
vote prevote prevoted prevoting revote revoted revoting revote unvoted unvoting votable voteable voteless 				
adult adulthood adultlike adultly adultness nonadult quasi-adult subadult subadultness unadult adulthood 				
demand demandable demander counterdemand overdemand predemand superdemand undemanded demandable demander 				
machine machineless antimachine unmachined machinable machineable machinability machineless machine-like 				
specific specifically nonspecifically prespecific prespecifically unspecific unspecifically specifically 				
individual interindividual nonindividual superindividual superindividually transindividual individually 				
individual interindividual nonindividual superindividual superindividually transindividual individually 				
outcome success successless successlessly successlessness nonsuccess presuccess semisuccess successless 				
passing shot reference book base on balls muster passenger passim passive pass passless outpass subpass 				
summer solstice winter summerlike summer summerless summerless summer-like summerly summery summeriness 				
removal remove preremove preremoved preremoving removable removability removableness removably remover 				
tone arm armrest firearms coat of arms Armenian Armenian Armorican arm armlike armless armless armlike 				
communication communicational noncommunication overcommunication precommunication self-communication 				
concerned concernedly concernedness underconcerned overconcern preconcern self-concern concernedness 				
daughter daughterless daughterlike daughterhood daughterless daughter-like daughterliness daughterly 				
heat heatable heatful heatless heatlike reheat reheatable self-heating underheat unheatable heatless 				
ignore ignorable ignorer unignorable unignorably unignored unignoring well-ignored ignorable ignorer 				
red light red wine in the black paint redd re- are red redly Berthold redly redness redder Skeltonic 				
reduce antireducing nonreducing overreduce overreduced overreducing reducible reducibility reducibly 				
day coach mobile home coach coachable coachability outcoach overcoach uncoachable uncoached coacher 				
paints paints painted paint painting painting painting painting paintable paintless outpaint painty 				
purpose prepurpose prepurposed prepurposing repurpose repurposed repurposing unpurposed unpurposing 				
sound soundable unsoundable soundly soundness soundable Øresund Öresund soundable soundly soundness 				
sound soundable unsoundable soundly soundness soundable Øresund Öresund soundable soundly soundness 				
court of law law lawyer lawyerlike lawyerly delawyer nonlawyer underlawyer unlawyerlike unlawyerly 				
letter alcohol essence God spiritualist inspirit spirit spiritlike nonspirit outspirit unspiriting 				
beg question questioner counterquestion outquestion prequestion requestion subquestion questioner 				
drawing luck draw drawable misdraw misdrew misdrawn misdrawing predraw predrew predrawn predrawing	 redraw redrew redrawn redrawing undrawable drawable 			
execution executive executively executiveness nonexecutive proexecutive semiexecutive executively 				
kidskin Kyd Thomas kid kiddish kiddishness kidlike kidder kiddingly kiddishness kidlike kiddingly 				
airlift fat airlift lift liftable lifter underlift unliftable unlifted unlifting liftable lifter 				
amusement park theme park park parker parklike overpark repark superpark unparked Mungo parklike 				
beauty beauty beauty beautiful beautifully beautifulness unbeautiful unbeautifully beautifulness 				
bride legal legate legato legend legislation legislative legislature leg legless leglike leglike 				
economy class economy noneconomy noneconomies subeconomy subeconomies supereconomy supereconomies				
heavily heavy heaviness overheaviness overheavy ultraheavy unheaviness unheavy heavily heaviness 				
offer offerable offerer offeror nonoffer preoffer reoffer self-offered unoffered offerer offeror 				
ship shipless shiplessly misship misshipped misshipping preship preshipped preshipping shippable 				
city cityless citylike intercity minicity minicities outcity outcities procity subcity subcities				
cold gauntlet sponge towel bathwater bull throw misthrow misthrew misthrown misthrowing thrower 				
common commonness overcommon overcommonly overcommonness quasi-common quasi-commonly commonness 				
generation generational generationally intergeneration pregeneration subgeneration generational 				
great greatness overgreat overgreatly overgreatness quasi-great quasi-greatly greatly greatness 				
imagine image imageable imager preimage reimage reimaged reimaging unimaged imageable imageless 				
surfboard circuit board board check tread board boardable boardlike reboard unboarded boardable 				
tooth edge edgeless outedge outedged outedging underedge unedge unedged unedging edgeless edger 				
auction block writer s block cylinder block block blockable reblock subblock unblocked blocker 				
deciding decided decision decisional nondecision predecision redecision subdecision decisional 				
enlisted man maun man Manila Manitoba manual man manless manlessly manlessness manness manless 				
guess guessable guesser guessingly preguess unguessable unguessed guessable guesser guessingly 				
order orderable orderer orderless counterorder misorder preorder unorderable orderer orderless 				
order orderable orderer orderless counterorder misorder preorder unorderable orderer orderless 				
research researchable researcher researchist proresearch underresearch researchable researcher 				
settle settleable settleability settledness quasi-settled unsettleable well-settled settleable 				
agreement agree agreeingly interagree interagreed interagreeing preagree preagreed preagreeing				
electing election interelection nonelection postelection reelection self-election subelection 				
entero- enter enterable enterer preenter unenterable unentered well-entered enterable enterer 				
follow shot follow-up suit follow followable unfollowable unfollowed well-followed followable 				
popular antipopular nonpopular overpopular pseudopopular quasi-popular semipopular subpopular 				
title page title mistitle mistitled mistitling nontitle retitle retitled retitling undertitle 				
walking base on balls walking walking base on balls race walking plank walk unwalked walkable 				
eye eyeable eyelike eyer undereye undereyed undereying undereyeing uneyeable eyeless eyelike 				
longa length longitude long longly longness Crawford Williamson Huey Pierce Russell B(illiu) 				
longa length longitude long longly longness Crawford Williamson Huey Pierce Russell B(illiu) 				
buy buyable nonbuying prebuy prebought prebuying rebuy rebought rebuying unbuyable unbuying 				
dolly track trackable trackability tracker multitrack retrack untrackable trackable tracker 				
education antieducation noneducation overeducation preeducation proeducation supereducation 				
choosing choose chosen choice choiceless choicely choiceness prechoice choicely choiceness 				
comment commentable commenter uncommented uncommenting undercomment undercomment commenter 				
gather gatherable gatherer pregather regather ungathered well-gathered gatherable gatherer 				
mother superior motherfucker mother motherless motherlessness unmothered mothering mothery 				
officer officerial officerless officership officerhood subofficer underofficer unofficered 				
true true truthfulness truth truthless truthlessness mistruth nontruth Sojourner truthless 				
wind instrument wind instruments solar wind wind windless windlessly windlessness windable 				
working work nonwork prework preworked prewrought preworking prework workless worklessness 				
working work nonwork prework preworked prewrought preworking prework workless worklessness 				
activity nonactivity nonactivities preactivity preactivities superactivity superactivities				
Christmastime Christmastide Christmas Christmassy Christmasy post-Christmas pre-Christmas 				
police overpolice overpoliced overpolicing prepolice self-policing unpoliced well-policed 				
pretty prettily prettiness prettyish unprettily unprettiness unpretty prettily prettiness 				
refuse refusable refuser quasi-refused unrefusable unrefused unrefusing refusable refuser 				
special specially interspecial nonspecial nonspecially superspecial specially specialness 				
surface structure surface surfaceless surfacer nonsurface unsurfaced surfaceless surfacer 				
wive wife wife wifedom wifeless wifelessness wifehood wifeless wifelike wifeliness wifely 				
befriend friend friendless friendlessness nonfriend friendless friendlessness friendship 				
teaches teacher teacherless teachership nonteacher self-teacher underteacher teacherless 				
technology antitechnology supertechnology supertechnologies technologically technologist 				
treat treater nontreated overtreat self-treated untreated well-treated treatable treater 				
resides residing residency resident residentship pseudoresident unresident residentship 				
shot tower long shot shoot intoxicated bolt wad breeze bull work shot shotless shotlike 				
agency agency Indian agent patient agent counteragent interagent superagent underagent 				
approach approacher approachless reapproach unapproached unapproaching well-approached 				
approach approacher approachless reapproach unapproached unapproaching well-approached 				
business antibusiness interbusiness multibusiness nonbusiness overbusiness probusiness 				
credit creditless overcredit precredit supercredit uncredited well-credited creditless 				
hang tough toughly toughness supertough untough untoughly untoughness toughish toughly 				
lean Richard rich richly richness overrich overrichly overrichness superrich ultrarich 				
plays plays player piano played player counterplayer nonplayer self-player superplayer 				
remember rememberable rememberer unremembered unremembering well-remembered rememberer 				
security nonsecurity nonsecurities oversecurity self-security subsecurity subsecurities				
agent Indian agency agent agent agency subagency subagencies underagency underagencies				
bluing bluestocking blue ribbon blueline blue bluely blueness unblued bluely blueness 				
decision decide decider predecide predecided predeciding redecide redecided redeciding				
documentary document documentable documenter nondocumented redocument well-documented 				
nation nationhood nationless internation minination supernation nationhood nationless 				
objection objection objective object objector overobject reobject unobjected objector 				
understand preunderstand preunderstood preunderstanding understandable understandably 				
collective agreement agreement interagreement nonagreement preagreement proagreement 				
drunk ice cut miscut miscut miscutting outcut outcut outcutting recut recut recutting				
stations of the cross station stational interstation restation unstation unstationed 				
wallpaper toilet paper wallpaper paper paperless paperlike repaper unpapered paperer 				
campaign campaigner countercampaign precampaign recampaign uncampaigning campaigner 				
catcher catchy catch catchable outcatch outcaught outcatching uncatchable catchable 				
nail set sett face store set interset interset intersetting misset misset missetting				
nail set sett face store set interset interset intersetting misset misset missetting				
political political political political political politics antipolitics propolitics 				
triangulation pavilion first base bass base unbased basely baseness basely baseness 				
triangulation pavilion first base bass base unbased basely baseness basely baseness 				
annotate note noter prenote prenoted prenoting subnote undernote unnoting noteless 				
annotate note noter prenote prenoted prenoting subnote undernote unnoting noteless 				
fund nonfunded overfund overfund prefund underfund underfunded underfunding funder 				
interval distant distant interval aesthetic distance distant distance distanceless 				
occur preoccur preoccurred preoccurring reoccur reoccurred reoccurring unoccurring 				
physical science science antiscience interscience nonscience proscience subscience 				
program reprogram reprogrammed reprogramed reprogramming reprograming unprogrammed 				
shopping center center field central snap center centerable centerless supercenter 				
design outdesign overdesign predesign redesign self-design underdesign designable 				
design outdesign overdesign predesign redesign self-design underdesign designable 				
population populational populationless repopulation subpopulation superpopulation 				
weapon weaponed weaponless outweaponed superweapon unweaponed weaponed weaponless 				
behavior behavioral behaviorally interbehavior interbehavioral interbehaviorally 				
federal federally federalness nonfederal quasi-federal quasi-federally federally 				
insist insister insistingly overinsist reinsist superinsist insister insistingly 				
tail headline railhead read/write head headline head headlike multihead headlike 				
tail headline railhead read/write head headline head headlike multihead headlike 				
return ticket carriage return return nonreturn prereturn unreturned unreturning 				
return ticket carriage return return nonreturn prereturn unreturned unreturning 				
sentence periodic period subperiod periodically quasi-periodically periodically 				
union junction union join joinable misjoin underjoin unjoin unjoinable joinable 				
blood cold coldish coldly coldness overcold overcoldly coldish coldly coldness 				
growth growth pair grow growable regrow regrew regrown regrowing Galusha Aaron 				
index manus firsthand second hand cash hand handlike Learned handless handlike 				
love affair lover love outlove outloved outloving overlove overloved overloving				
love affair lover love outlove outloved outloving overlove overloved overloving				
manages manager managership submanager submanagership undermanager managership 				
deep structure deep deepness nondeep overdeep undeep undeeply deeply deepness 				
farm farmable minifarm nonfarm profarm superfarm unfarmable unfarmed farmable 				
public house public nonpublic quasi-public quasi-publicly unpublic unpublicly 				
public house public nonpublic quasi-public quasi-publicly unpublic unpublicly 				
sleeper sleep sleepful sleeplike antisleep undersleep underslept undersleeping				
feature story feature transfeature transfeatured transfeaturing underfeature 				
hard labor hearing-impaired hard overhard overhardness semihard semihardness 				
hard labor hearing-impaired hard overhard overhardness semihard semihardness 				
place placeable placeless placelessly preplace preplaced preplacing unplaced 				
place placeable placeless placelessly preplace preplaced preplacing unplaced 				
reach reachable reachability reacher unreachable unreached reachable reacher 				
recording record recordable recordless unrecordable well-recorded recordable 				
seek outseek outsought outseeking reseek resought reseeking unseeking seeker 				
visit intervisit nonvisiting previsit revisit unvisited unvisiting visitable 				
attorney attorneyship subattorney subattorneys subattorneyship attorneyship 				
expert expertly expertness nonexpert proexpert unexpert expertly expertness 				
nuclear family nuclear energy nuclear internuclear multinuclear postnuclear 				
personality third person first person person person multiperson superperson 				
response respond overrespond unresponding respondence respondency responder 				
spend antispending underspend underspent underspending unspending spendable 				
discussing discussion discussional prediscussion rediscussion discussional 				
institution counterinstitution noninstitution reinstitution institutionary 				
treating treatment nontreatment overtreatment posttreatment self-treatment 				
candidate candidacy candidature candidateship precandidacy precandidature 				
dolly dolly dolly dolly barter truck system barter barter truck truckable 				
growing grown grows grow growth antigrowth pregrowth regrowth supergrowth 				
insuring insured insures insurance noninsurance preinsurance proinsurance 				
series multiseries multiseries subseries subseries superseries superseries				
attention attentively attend attender attendingly well-attended attender 				
life life hog living livingly livingness nonliving quasi-living unliving 				
penis hand tool tool tooler toolless multitool untooled tooler tool-less 				
station witness stand grandstand newsstand hive pat reason stand stander 				
California job case casebox casehardened case caseless caselessly caser 				
collar hot hotly hotness overhot overhotly ultrahot unhot hotly hotness 				
light lightful lightfully lightish lightless lightish lightly lightness 				
light lightful lightfully lightish lightless lightish lightly lightness 				
list price listserv enlist lister fillet listen list Friedrich listable 				
meeting house intersection cute meeting submeeting meeter meeter meetly 				
northern North Country John Wilson north Frederick 2nd Earl of Guilford 				
position positional positionless misposition well-positioned positional 				
quickly quick quickness unquick unquickly unquickness quickly quickness 				
breath open air air pressure aircraft aerial early air airlike unaired 				
prepare preparer reprepare reprepared repreparing unpreparing preparer 				
silent partner partner partnerless nonpartner underpartner partnerless 				
Sir Anthony Hope Hawkins hope hoper hopingly unhoping unhopingly hoper 				
Sir Anthony Hope Hawkins hope hoper hopingly unhoping unhopingly hoper 				
survive self-surviving unsurvived unsurviving survivable survivability 				
western sandwich western anti-Western nonwestern pro-Western unwestern 				
alien citizen citizenly noncitizen uncitizenly undercitizen citizenly 				
baby babyhood babyish babyishly babyishness babylike babyhood babyish 				
degree degreed degreeless predegree undegreed underdegreed degreeless 				
rolling pin roller rolling mill punch roll rollable reroll unrollable 				
writing writer write miswrite miswrote miswritten miswriting writable 				
wrong wronger wrongly wrongness quasi-wrong wronger wrongly wrongness 				
animality animal animalic animalian nonanimal semianimal superanimal 				
childe child childless childlessness childless childlessness childly 				
competing competition noncompetition procompetition supercompetition 				
crossette earphones ear tuft wet ear earless earlike earless earlike 				
marriage nonmarriage postmarriage premarriage promarriage remarriage 				
religious religion religionless antireligion nonreligion subreligion 				
resource resourceless resourcelessness resourceless resourcelessness 				
conference conferential preconference subconference subconferential 				
consumes consumer consumership anticonsumer nonconsumer preconsumer 				
euro euro impounded reach impound pound pounder Ezra Loomis pounder 				
fear self-fearing unfearing fearer fearless fearlessly fearlessness 				
historical history underhistory underhistories unhistory unhistories				
nightfall night nightless nightlessly nightlike nightless nightlike 				
oil oilless oillessness oillike reoil self-oiling unoiling oil-like 				
videotape music video videocassettes videocassette music video video				
answering service servants serving service tree service unserviced 				
costo- cost costless costlessness recost recost recosting costless 				
costo- cost costless costlessness recost recost recosting costless 				
day camp summer camp campy cyclic AMP camp Walter Chauncey camping 				
news story history history history story storyless William Wetmore 				
participates participating participant participantly unparticipant 				
post-office box box stall boxing boxer boxlike box boxlike boxlike 				
quality qualityless nonquality nonqualities subquality subqualities				
reason reasoner nonreason nonreasoner outreason subreason reasoner 				
species species superspecies superspecies underspecies underspecies				
variety nonvariety nonvarieties overvariety subvariety subvarieties				
notice noticer renotice renoticed renoticing unnoticed unnoticing 				
paper money paper money money of account money moneyless nonmoney 				
party partyless interparty nonparty nonparties subparty subparties				
shoulder season knee shoulder outshoulder reshoulder unshouldered 				
brain picking plectrum filling pick pickable unpickable pickable 				
chaff fenster window windowless windowy unwindowed well-windowed 				
character characterless uncharactered characterful characterless 				
condom drums skin skinlike underskin unskinned skinless skinlike 				
fermata stronghold own peace tongue water hold holdable holdable 				
fly alluvial fan Fang fan fanlike fanner unfanned fanlike fanner 				
free free large largeness overlarge ultralarge unlarge largeness 				
trial intertrial nontrial posttrial retrial self-trial trialling 				
answer answerer answerless unanswered unanswering well-answered 				
answer answerer answerless unanswered unanswering well-answered 				
electric charge electric charge charge chargeless self-charging 				
forget forgettable forgetter unforgetting forgettable forgetter 				
husband husbander husbandless unhusbanded husbander husbandless 				
jump hand table tide turn turnable unturnable unturned turnable 				
jump hand table tide turn turnable unturnable unturned turnable 				
locule cellular phone cel celluloid mobile phone cell cell-like 				
purebred true north truthful truth truly true trueness trueness 				
store storer overstore overstored overstoring substore storable 				
target targetable targetless untargetable untargeted targetless 				
finger finger fingerer fingerless refinger fingerer fingerless 				
foot land land landlike reland underland landless landlessness 				
huge hugely hugeness overhuge overhugely overhugeness hugeness 				
loss loss face lose relose relost relosing losable losableness 				
pain feel overfeel overfelt overfeeling refeel refelt refeeling				
performing performing performance misperformance reperformance 				
studies student studentless studentlike antistudent nonstudent 				
village villageless villagey villagy intervillage village-like 				
electron gun gin gunnery cotton gin gun gunless ginner ginner 				
hide hidable hidability hider hideless hidable hider hideless 				
patho- pathological pathology path multipath outpath pathless 				
seat seater seatless misseat underseated well-seated seatless 				
text message text message text message text textless textless 				
electric chair chairlift sedan chair chair chairless unchair 				
lot lotter interlot interlotted interlotting sublot unlotted 				
lot lotter interlot interlotted interlotting sublot unlotted 				
musical musical musical music musicless antimusic undermusic 				
operation misoperation preoperation reoperation suboperation 				
potent electric potential potential nonpotential potentially 				
speaking speaking spoken spoken speaker speaking rumor speech				
stepsister sisterhood sister sisterless sisterlike nonsister 				
stuff stuffless restuff understuff unstuff unstuffed stuffer 				
twosome single quasi-single quasi-singly unsingle singleness 				
voice voicer outvoice outvoiced outvoicing undervoice voicer 				
womanly woman woman womanless antiwoman womanless woman-like 				
ball bases base runner ball bases ball baseball probaseball 				
criminal crime crimeless crimelessness anticrime supercrime 				
horse racing gingerroot race antiracing preracing proracing 				
violent violence antiviolence counterviolence self-violence 				
general generalness pseudogeneral undergeneral generalness 				
laughter sleeve laugh outlaugh laugher laughing laughingly 				
minority plurality major majority nonmajority nonmajorities				
peace peaceless peacelessness peacelike nonpeace semipeace 				
call recall recallable unrecallable unrecalled recallable 				
fish fishless fishlike outfish unfished fishable fishlike 				
odd evening evener evenly evenness evener evenly evenness 				
relation relationless nonrelation prerelation subrelation 				
terminal termination term termly interterm misterm termly 				
added additional additionally preadditional additionally 				
baud bite bullet dust bit bitless bitable biteable biter 				
baud bite bullet dust bit bitless bitable biteable biter 				
